price_in_rp,city,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,garages,floors,rasio_tanah_bangunan,total_ruangan,city_encoded
2990000000.0, Bekasi,4.0,4.0,239.0,272.0,0.0,0.0,2.0,0.8786764705882353,8.0,0
1270000000.0, Bekasi,3.0,2.0,55.0,69.0,1.0,0.0,2.0,0.7971014492753623,5.0,0
1950000000.0, Bekasi,3.0,3.0,119.0,131.0,1.0,1.0,2.0,0.9083969465648855,6.0,0
3300000000.0, Bekasi,3.0,3.0,180.0,174.0,0.0,2.0,2.0,1.0344827586206897,6.0,0
4500000000.0, Bekasi,4.0,3.0,328.0,196.0,2.0,1.0,2.0,1.6734693877551021,7.0,0
2700000000.0, Bekasi,3.0,3.0,136.0,200.0,2.0,1.0,2.0,0.68,6.0,0
2350000000.0, Bekasi,2.0,2.0,144.0,144.0,1.0,1.0,2.0,1.0,4.0,0
4500000000.0, Bekasi,4.0,4.0,216.0,250.0,2.0,1.0,2.0,0.864,8.0,0
2900000000.0, Bekasi,3.0,3.0,200.0,152.0,2.0,0.0,2.0,1.3157894736842106,6.0,0
2700000000.0, Bekasi,3.0,3.0,136.0,200.0,1.0,1.0,2.0,0.68,6.0,0
2550000000.0, Bekasi,3.0,2.0,144.0,186.0,1.0,0.0,2.0,0.7741935483870968,5.0,0
952000000.0, Bekasi,2.0,2.0,55.0,50.0,1.0,0.0,2.0,1.1,4.0,0
1800000000.0, Bekasi,2.0,1.0,119.0,82.0,1.0,1.0,2.0,1.451219512195122,3.0,0
2350000000.0, Bekasi,3.0,3.0,144.0,149.0,1.0,1.0,2.0,0.9664429530201343,6.0,0
2500000000.0, Bekasi,3.0,3.0,144.0,200.0,1.0,1.0,2.0,0.72,6.0,0
2700000000.0, Bekasi,3.0,3.0,193.0,136.0,1.0,1.0,3.0,1.4191176470588236,6.0,0
5360000000.0, Bekasi,5.0,4.0,192.0,370.0,2.0,0.0,2.0,0.518918918918919,9.0,0
952000000.0, Bekasi,2.0,2.0,55.0,50.0,1.0,0.0,2.0,1.1,4.0,0
2250000000.0, Bekasi,4.0,3.0,119.0,150.0,0.0,0.0,2.0,0.7933333333333333,7.0,0
2250000000.0, Bekasi,3.0,2.0,119.0,150.0,1.0,1.0,1.0,0.7933333333333333,5.0,0
2450000000.0, Bekasi,3.0,3.0,144.0,150.0,1.0,0.0,1.0,0.96,6.0,0
125000000.0, Bekasi,3.0,1.0,110.0,110.0,0.0,0.0,2.0,1.0,4.0,0
1980000000.0, Bekasi,2.0,2.0,119.0,98.0,1.0,1.0,2.0,1.2142857142857142,4.0,0
764000000.0, Bekasi,3.0,3.0,78.0,83.0,2.0,0.0,2.0,0.9397590361445783,6.0,0
2000000000.0, Bekasi,3.0,2.0,164.0,155.0,0.0,0.0,1.0,1.0580645161290323,5.0,0
764000000.0, Bekasi,3.0,3.0,78.0,83.0,2.0,0.0,2.0,0.9397590361445783,6.0,0
2350000000.0, Bekasi,3.0,2.0,119.0,140.0,1.0,0.0,2.0,0.85,5.0,0
2550000000.0, Bekasi,3.0,2.0,144.0,186.0,1.0,1.0,2.0,0.7741935483870968,5.0,0
480000000.0, Bekasi,2.0,1.0,55.0,30.0,1.0,0.0,1.0,1.8333333333333333,3.0,0
1900000000.0, Bekasi,2.0,3.0,91.0,120.0,2.0,0.0,2.0,0.7583333333333333,5.0,0
300000000.0, Bekasi,2.0,1.0,60.0,36.0,1.0,0.0,1.0,1.6666666666666667,3.0,0
5270000000.0, Bekasi,4.0,3.0,192.0,307.0,2.0,0.0,3.0,0.6254071661237784,7.0,0
2800000000.0, Bekasi,4.0,3.0,150.0,200.0,2.0,2.0,2.0,0.75,7.0,0
2710000000.0, Bekasi,4.0,4.0,135.0,149.0,2.0,0.0,2.0,0.9060402684563759,8.0,0
500000000.0, Bekasi,3.0,1.0,72.0,42.0,0.0,0.0,1.0,1.7142857142857142,4.0,0
439000000.0, Bekasi,3.0,1.0,60.0,37.0,0.0,0.0,1.0,1.6216216216216217,4.0,0
800000000.0, Bekasi,3.0,2.0,92.0,82.0,0.0,2.0,2.0,1.1219512195121952,5.0,0
850000000.0, Bekasi,3.0,2.0,200.0,125.0,1.0,1.0,1.0,1.6,5.0,0
700000000.0, Bekasi,3.0,2.0,90.0,146.0,1.0,1.0,2.0,0.6164383561643836,5.0,0
4950000000.0, Bekasi,5.0,4.0,348.0,430.0,1.0,1.0,2.0,0.8093023255813954,9.0,0
1300000000.0, Bekasi,4.0,4.0,84.0,105.0,1.0,1.0,2.0,0.8,8.0,0
1200000000.0, Bekasi,3.0,2.0,120.0,90.0,2.0,0.0,2.0,1.3333333333333333,5.0,0
2650000000.0, Bekasi,5.0,4.0,160.0,296.0,0.0,0.0,2.0,0.5405405405405406,9.0,0
1300000000.0, Bekasi,4.0,4.0,84.0,105.0,1.0,1.0,2.0,0.8,8.0,0
1300000000.0, Bekasi,4.0,4.0,84.0,105.0,1.0,1.0,2.0,0.8,8.0,0
1300000000.0, Bekasi,4.0,3.0,84.0,105.0,0.0,0.0,2.0,0.8,7.0,0
425000000.0, Bekasi,2.0,1.0,90.0,65.0,0.0,0.0,1.0,1.3846153846153846,3.0,0
280000000.0, Bekasi,2.0,1.0,70.0,40.0,1.0,1.0,1.0,1.75,3.0,0
999000000.0, Bekasi,6.0,2.0,127.0,190.0,1.0,1.0,2.0,0.6684210526315789,8.0,0
5750000000.0, Bekasi,5.0,4.0,400.0,398.0,2.0,1.0,2.0,1.0050251256281406,9.0,0
1500000000.0, Bekasi,3.0,2.0,100.0,136.0,1.0,1.0,2.0,0.7352941176470589,5.0,0
6800000000.0, Bekasi,8.0,9.0,700.0,1400.0,2.0,2.0,4.0,0.5,17.0,0
3000000000.0, Bekasi,4.0,5.0,250.0,400.0,1.0,1.0,1.0,0.625,9.0,0
168000000.0, Bekasi,2.0,1.0,60.0,19.0,1.0,1.0,1.0,3.1578947368421053,3.0,0
870000000.0, Bekasi,3.0,1.0,90.0,80.0,1.0,0.0,2.0,1.125,4.0,0
495000000.0, Bekasi,2.0,1.0,86.0,45.0,1.0,1.0,1.0,1.9111111111111112,3.0,0
275000000.0, Bekasi,2.0,1.0,60.0,36.0,1.0,1.0,1.0,1.6666666666666667,3.0,0
300000000.0, Bekasi,2.0,2.0,70.0,70.0,1.0,1.0,1.0,1.0,4.0,0
1440000000.0, Bekasi,2.0,2.0,55.0,60.0,1.0,0.0,2.0,0.9166666666666666,4.0,0
764000000.0, Bekasi,3.0,3.0,78.0,83.0,1.0,0.0,2.0,0.9397590361445783,6.0,0
1200000000.0, Bekasi,3.0,2.0,120.0,90.0,2.0,0.0,2.0,1.3333333333333333,5.0,0
764000000.0, Bekasi,3.0,3.0,78.0,83.0,2.0,0.0,2.0,0.9397590361445783,6.0,0
495000000.0, Bekasi,2.0,1.0,86.0,45.0,1.0,1.0,1.0,1.9111111111111112,3.0,0
1500000000.0, Bekasi,4.0,3.0,100.0,136.0,2.0,2.0,2.0,0.7352941176470589,7.0,0
300000000.0, Bekasi,2.0,1.0,60.0,36.0,1.0,1.0,1.0,1.6666666666666667,3.0,0
365000000.0, Bekasi,2.0,1.0,60.0,36.0,1.0,0.0,1.0,1.6666666666666667,3.0,0
350000000.0, Bekasi,2.0,1.0,60.0,38.0,1.0,0.0,1.0,1.5789473684210527,3.0,0
351000000.0, Bekasi,2.0,1.0,60.0,38.0,1.0,0.0,1.0,1.5789473684210527,3.0,0
393000000.0, Bekasi,2.0,1.0,60.0,36.0,1.0,0.0,1.0,1.6666666666666667,3.0,0
