url,price_in_rp,title,address,district,city,property_type,land_size_m2,building_size_m2,bedrooms,bathrooms,carports
https://www.rumah123.com/properti/semarang-semarang-barat/dijual-rumah-di-cluster-taman-kayangan-bsb-mijen-all-in-5-juta-hos41449614/,473000000.0,Dijual Rumah di Cluster Taman Kayangan Bsb Mijen | All In 5 Juta By Prabowo Siswanto Property,"Semarang Barat, Semarang",Semarang Barat,Semarang,rumah,72.0,36.0,2.0,1.0,2.0
https://www.rumah123.com/properti/semarang-semarang-barat/rumah-di-candi-kalasan-semarang-si-me-6347-hos41065578/,2000000000.0,"Rumah di Candi Kalasan , Semarang Si Me 6347","Semarang Barat, Semarang",Semarang Barat,Semarang,rumah,288.0,350.0,4.0,2.0,4.0
https://www.rumah123.com/properti/semarang-semarang-tengah/rumah-di-jl-taman-seteran-vn0201-hos41067669/,2000000000.0,Rumah di Jl. Taman Seteran (Vn0201),"Semarang Tengah, Semarang",Semarang Tengah,Semarang,rumah,100.0,100.0,3.0,1.0,
https://www.rumah123.com/properti/semarang-semarang-barat/rumah-di-daerah-borobudur-manyaran-semarang-me-8024-hos41067286/,450000000.0,"Rumah di Daerah Borobudur Manyaran , Semarang ( Me 8024 )","Semarang Barat, Semarang",Semarang Barat,Semarang,rumah,74.0,42.0,2.0,1.0,1.0
https://www.rumah123.com/properti/semarang-semarang-barat/rumah-semarang-indah-semarang-de-7775-hos41227042/,1400000000.0,"Rumah Semarang Indah , Semarang ( De 7775)","Semarang Barat, Semarang",Semarang Barat,Semarang,rumah,240.0,220.0,3.0,2.0,4.0
https://www.rumah123.com/properti/semarang-semarang-tengah/rumah-mewah-full-furnished-tengah-kota-semarang-semenit-ke-simpanglima-hos17991484/,9500000000.0,Rumah Mewah Full Furnished Tengah Kota Semarang Semenit Ke Simpanglima,"Semarang Tengah, Semarang",Semarang Tengah,Semarang,rumah,297.0,550.0,4.0,3.0,2.0
https://www.rumah123.com/properti/semarang-bsb-city/rumah-di-aurora-terrace-bsb-village-semarang-ls-7993-hos41067080/,780000000.0,"Rumah di Aurora Terrace Bsb Village , Semarang ( Ls 7993 )","BSB City, Semarang",BSB City,Semarang,rumah,135.0,52.0,2.0,1.0,
https://www.rumah123.com/properti/semarang-jangli/dijual-rumah-di-jangli-semarang-hos39329696/,825000000.0,Dijual Rumah Di Jangli Semarang,"Jangli, Semarang",Jangli,Semarang,rumah,90.0,135.0,3.0,2.0,1.0
https://www.rumah123.com/properti/semarang-semarang-barat/rumah-kawasan-elit-di-graha-padma-semarang-hos41162203/,3900000000.0,Rumah Kawasan Elit di Graha Padma Semarang,"Semarang Barat, Semarang",Semarang Barat,Semarang,rumah,300.0,180.0,4.0,3.0,2.0
https://www.rumah123.com/properti/semarang-semarang-barat/rumah-mewah-2-lantai-semi-furnished-di-bukit-wahid-semarang-hos39916040/,6900000000.0,Rumah mewah 2 lantai semi furnished di Bukit Wahid Semarang,"Semarang Barat, Semarang",Semarang Barat,Semarang,rumah,542.0,335.0,5.0,4.0,2.0
https://www.rumah123.com/properti/surakarta-laweyan/rumah-bagus-call-08132912xxxx-di-kerten-laweyan-solo-hos41191327/,875000000.0,Rumah Bagus Call 0813xxxxxxxx di Kerten Laweyan Solo,"Laweyan, Surakarta",Laweyan,Surakarta,rumah,80.0,60.0,2.0,2.0,1.0
https://www.rumah123.com/properti/semarang-semarang-tengah/rumah-di-daerah-karang-wulan-semarang-tt-si-vn-8352-hos41068036/,3000000000.0,"Rumah di Daerah Karang Wulan , Semarang ( Tt Si Vn 8352 )","Semarang Tengah, Semarang",Semarang Tengah,Semarang,rumah,299.0,209.0,2.0,1.0,
https://www.rumah123.com/properti/surakarta-jebres/rumah-dijual-solo-di-mojosongo-jebres-surakarta-hos41191322/,500000000.0,Rumah Dijual Solo di Mojosongo Jebres Surakarta,"Jebres, Surakarta",Jebres,Surakarta,rumah,123.0,200.0,9.0,4.0,
https://www.rumah123.com/properti/sukoharjo-grogol/rumah-hook-bagus-idaman-keluarga-di-lokasi-premium-solo-baru-hos41199217/,4500000000.0,Rumah Hook Bagus Idaman Keluarga di Lokasi Premium Solo Baru,"Grogol, Sukoharjo",Grogol,Sukoharjo,rumah,269.0,295.0,5.0,4.0,3.0
https://www.rumah123.com/properti/semarang-banyumanik/rumah-mewah-dan-besar-di-sawunggaling-banyumanik-hos41134357/,5300000000.0,Rumah Mewah dan Besar di Sawunggaling Banyumanik,"Banyumanik, Semarang",Banyumanik,Semarang,rumah,300.0,600.0,5.0,5.0,3.0
https://www.rumah123.com/properti/semarang-ungaran-timur/hunian-nyaman-2kt-di-cluster-beji-akses-tol-mudah-hos41522020/,404000000.0,"Hunian Nyaman 2Kt di Cluster Beji, Akses Tol Mudah","Ungaran Timur, Semarang",Ungaran Timur,Semarang,rumah,64.0,40.0,2.0,1.0,1.0
https://www.rumah123.com/properti/solo-kartosuro/rumah-bagus-di-kartosuro-perum-safira-residence-solo-hos41547588/,1200000000.0,Rumah Bagus di Kartosuro Perum Safira Residence Solo,"Kartosuro, Solo",Kartosuro,Solo,rumah,121.0,60.0,2.0,1.0,1.0
https://www.rumah123.com/properti/semarang-pleburan/rumah-semi-furnish-di-pleburansingosari-semarang-hos40653661/,7500000000.0,"Rumah Semi Furnish di Pleburan, Tengah Kota Semarang","Semarang Tengah, Semarang",Semarang Tengah,Semarang,rumah,349.0,320.0,5.0,5.0,1.0
https://www.rumah123.com/properti/semarang-bsb-city/rumah-2-lantai-di-di-ivy-park-bsb-semarang-barat-hos41384239/,2700000000.0,Rumah 2 Lantai di di Ivy Park Bsb Semarang Barat,"BSB City, Semarang",BSB City,Semarang,rumah,200.0,150.0,5.0,5.0,1.0
https://www.rumah123.com/properti/semarang-jatingaleh/rumah-hook-di-perumahan-cluster-semi-furnish-dan-siap-dihuni-lokasi-jatingaleh-semarang-hos39026336/,850000000.0,"Rumah Hook di Perumahan Cluster, Semi Furnish dan Siap Dihuni , Lokasi Jatingaleh - Semarang","Jatingaleh, Semarang",Jatingaleh,Semarang,rumah,64.0,128.0,3.0,2.0,
https://www.rumah123.com/properti/solo-solo-baru/rumah-mewah-di-solo-baru-dekat-pakuwon-mall-hos41323801/,7500000000.0,Rumah Mewah di Solo Baru Dekat Pakuwon Mall,"Solo Baru, Solo",Solo Baru,Solo,rumah,240.0,300.0,7.0,5.0,4.0
https://www.rumah123.com/properti/solo-banjarsari/rumah-cluster-tengah-kota-di-gilingan-banjarsari-solo-hos41322998/,1400000000.0,Rumah Cluster Tengah Kota di Gilingan Banjarsari Solo,"Banjarsari, Solo",Banjarsari,Solo,rumah,116.0,180.0,,,
https://www.rumah123.com/properti/solo-jaten/rumah-mewah-dekat-kampus-uns-dan-rs-moewardi-solo-di-ngringo-jaten-hos41191034/,2700000000.0,Rumah Mewah Dekat Kampus Uns dan Rs Moewardi Solo di Ngringo Jaten,"Jaten, Solo",Jaten,Solo,rumah,252.0,375.0,5.0,4.0,4.0
https://www.rumah123.com/properti/semarang-ngaliyan/rumah-di-perum-graha-beringin-mas-ngaliyan-semarang-de-7468-hos41227038/,450000000.0,"Rumah di Perum Graha Beringin Mas , Ngaliyan Semarang ( De 7468 )","Ngaliyan, Semarang",Ngaliyan,Semarang,rumah,96.0,96.0,2.0,2.0,
https://www.rumah123.com/properti/solo-nusukan/rumah-dijual-solo-di-nusukan-banjarsari-surakarta-hos40984266/,900000000.0,Rumah Dijual Solo di Nusukan Banjarsari Surakarta,"Nusukan, Solo",Nusukan,Solo,rumah,165.0,200.0,5.0,3.0,1.0
