"object-cover src","object-cover src 2","object-cover src 3","w-10 href","w-fit","w-fit href","w-fit 2","bg-amber-400","group href","group","group href 2","group 2","Harga","text-xs","text-xs 2","w-full href","w-full","text-left","text-greyText","flex","text-greyText href","flex 2","text-greyText href 2","flex 3","text-greyText 2","flex 4","text-greyText 3","object-cover src 4","text-3xs","text-sm","line-clamp-1","w-full 2","flex 5","text-greyText href 3","h-full src","group href 3","group 3","bg-featured"
"https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpicture.rumah123.com%2Fr123-images%2F720x420-crop%2Fcustomer%2F4389882%2Flisting%2Fkss258974%2Fenhanced%2F3db1530a-c990-4ef1-a896-7fad1029d876.jpg&w=3840&q=85","https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpicture.rumah123.com%2Fr123-images%2F720x420-crop%2Fcustomer%2F4389882%2Flisting%2Fkss258974%2Fenhanced%2F7ab85b5851f7ce4c21c4c8bb80fd9311.jpg&w=3840&q=75","https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpicture.rumah123.com%2Fr123-images%2F720x420-crop%2Fcustomer%2F4389882%2Flisting%2Fkss258974%2Fenhanced%2Fc43809fa-e5f1-4869-a73d-0ada0d7c6e89.jpg&w=3840&q=75","[object Object]","8","[object Object]","Kost","Premier","https://www.rumah123.com/jual/cari/?location=jawa-tengah&itm_medium=search-suggestions-lokasi&itm_source=organic&quickLabel=Bisa+Nego","Bisa Nego","https://www.rumah123.com/jual/cari/?location=jawa-tengah&itm_medium=search-suggestions-lokasi&itm_source=organic&quickLabel=Dekat+Sekolah","Dekat Sekolah","Rp 2,5 Miliar","Rp 12 Jutaan (Tenor 20 Tahun)","Rp 15 Jutaan (Tenor 15 Tahun)","https://www.rumah123.com/properti/semarang-banyumanik/di-jual-rumah-dan-kosan-bisa-nego-sampai-jadi-kss258974/","Jual Rumah dan Kosan Ini Dekat Undip Nego Plus Dapat Hadiah Liburan Kejepang","Banyumanik, Semarang","Jual tanah bisa nego di bawah pasaran. dapat rumah dan kos kosan ditambah furniture dan isi an kosan.masih full penghuni kos juga dekat undip.dapat...","10","[object Object]","4","[object Object]","270 m²","LT:","400 m²","LB:","https://picture.rumah123.com/r123-images/250x250-fit/customer/4389882/0d6fee3ecc6488e7b22edf0181aaa0da.jpg","Diperbarui 12 menit yang lalu oleh","Adi mas nurjaya","+628571...","WhatsApp","","","","","",""
"https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpicture.rumah123.com%2Fr123-images%2F720x420-crop%2Fcustomer%2F2168096%2Fb4e30c5f622e369624ebc160915d9cbf.jpg&w=3840&q=75","https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpicture.rumah123.com%2Fr123-images%2F720x420-crop%2Fcustomer%2F2168096%2F51c29e20815b84dd1b92e1791ffb7860.jpg&w=3840&q=75","https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpicture.rumah123.com%2Fr123-images%2F720x420-crop%2Fcustomer%2F2168096%2Fc2d56d18ce3a6d9498d01edca4049f3e.jpg&w=3840&q=75","[object Object]","48","[object Object]","Rumah","Premier","https://www.rumah123.com/jual/cari/?location=jawa-tengah&itm_medium=search-suggestions-lokasi&itm_source=organic&quickLabel=Siap+Huni","Siap Huni","https://www.rumah123.com/jual/cari/?location=jawa-tengah&itm_medium=search-suggestions-lokasi&itm_source=organic&quickLabel=Dekat+Fasilitas+Kesehatan","Dekat Fasilitas Kesehatan","Rp 473 Juta","Rp 2 Jutaan (Tenor 20 Tahun)","Rp 2 Jutaan (Tenor 15 Tahun)","https://www.rumah123.com/properti/semarang-semarang-barat/dijual-rumah-di-cluster-taman-kayangan-bsb-mijen-all-in-5-juta-hos41449614/","Dijual Rumah di Cluster Taman Kayangan Bsb Mijen | All In 5 Juta By Prabowo Siswanto Property","Semarang Barat, Semarang","Taman Kayangan - Hunian Nyaman dengan Pemandangan Memukau  Hunian eksklusif dengan lingkungan asri dan lokasi strategis untuk kenyamanan hidup Anda...","2","[object Object]","1","[object Object]","72 m²","LT:","36 m²","LB:","https://picture.rumah123.com/r123-images/250x250-fit/customer/4450975/9fe84dc138997be2efc1655a239a36c7.jpg","Diperbarui 3 jam yang lalu oleh","Siswanto Property","+628584...","WhatsApp","2","[object Object]","","","",""
"https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpicture.rumah123.com%2Fr123-images%2F720x420-crop%2Fcustomer%2F1963289%2F2024-04-24-08-24-38-736b2310-986d-453c-a627-06e269b189dc.jpg&w=3840&q=75","https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpicture.rumah123.com%2Fr123-images%2F720x420-crop%2Fcustomer%2F1963289%2F2024-04-24-08-24-34-41b61575-b42f-4c4a-a138-8ebcb6df5c61.jpg&w=3840&q=75","https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpicture.rumah123.com%2Fr123-images%2F720x420-crop%2Fcustomer%2F1963289%2F2024-04-24-08-24-36-c51f4579-0a0c-4a35-aa05-16103eadd12f.jpg&w=3840&q=75","[object Object]","9","[object Object]","Ruang Usaha","Premier","https://www.rumah123.com/jual/cari/?location=jawa-tengah&itm_medium=search-suggestions-lokasi&itm_source=organic&quickLabel=Siap+Huni","Siap Huni","","","Rp 2,5 Miliar Total","Rp 12 Jutaan (Tenor 20 Tahun)","Rp 15 Jutaan (Tenor 15 Tahun)","https://www.rumah123.com/properti/semarang-semarang-barat/ruang-usaha-di-puri-eksekutif-semarang-si-me-6536-css9895813/","Ruang Usaha di Puri Eksekutif , Semarang Si Me 6536","Semarang Barat, Semarang","Ruang Usaha di Puri Eksekutif , Semarang ( Si Me 6536 ) lokasi strategis , akses jalan depan lebar Ada gensetnya Ruang usaha siap pakai","1","[object Object]","","","10000 m²","LT:","6000 m²","LB:","","Diperbarui 1 hari yang lalu oleh","Emirita Redland","+628193...","WhatsApp","","","https://pic.rumah123.com/r123/100x100-fit/logo/20200122032448_redland.jpeg","","",""
"https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpicture.rumah123.com%2Fr123-images%2F720x420-crop%2Fcustomer%2F1963289%2F2024-03-19-03-41-20-047a10f6-fb44-42b4-aaaa-63fde5f49534.jpg&w=3840&q=75","https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpicture.rumah123.com%2Fr123-images%2F720x420-crop%2Fcustomer%2F1963289%2F2024-03-19-03-41-21-254353e7-b1d3-47b7-b373-e969b4b89e91.jpg&w=3840&q=75","https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpicture.rumah123.com%2Fr123-images%2F720x420-crop%2Fcustomer%2F1963289%2F2024-03-19-03-41-22-6bc07093-d305-474e-8ee2-10f9be94e22e.jpg&w=3840&q=75","[object Object]","6","[object Object]","Rumah","Premier","https://www.rumah123.com/jual/cari/?location=jawa-tengah&itm_medium=search-suggestions-lokasi&itm_source=organic&quickLabel=Siap+Huni","Siap Huni","https://www.rumah123.com/jual/cari/?location=jawa-tengah&itm_medium=search-suggestions-lokasi&itm_source=organic&quickLabel=Dekat+Sekolah","Dekat Sekolah","Rp 2 Miliar","Rp 9 Jutaan (Tenor 20 Tahun)","Rp 12 Jutaan (Tenor 15 Tahun)","https://www.rumah123.com/properti/semarang-semarang-barat/rumah-di-candi-kalasan-semarang-si-me-6347-hos41065578/","Rumah di Candi Kalasan , Semarang Si Me 6347","Semarang Barat, Semarang","Rumah di Candi Kalasan , Semarang ( Si Me 6347 ) Letak strategis , semi furnished , hadap timur dekat dgn fasilitas umum lainnya seperti Sekolah , ...","4","[object Object]","2","[object Object]","288 m²","LT:","350 m²","LB:","","Diperbarui 1 hari yang lalu oleh","Emirita Redland","+628193...","WhatsApp","2 + 2","[object Object]","https://pic.rumah123.com/r123/100x100-fit/logo/20200122032448_redland.jpeg","","",""
"https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpic.rumah123.com%2Fr123%2F720x420-crop%2Fhouse%2Fho63%2F6315633%2Foriginal%2Fhos6315633-rumah-di-jual-di-semarang-tengah-semarang-15846834098618.jpg&w=3840&q=75","https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpic.rumah123.com%2Fr123%2F720x420-crop%2Fhouse%2Fho63%2F6315633%2Foriginal%2Fhos6315633-rumah-di-jual-di-semarang-tengah-semarang-15846834837909.jpg&w=3840&q=75","","[object Object]","2","[object Object]","Rumah","Premier","https://www.rumah123.com/jual/cari/?location=jawa-tengah&itm_medium=search-suggestions-lokasi&itm_source=organic&quickLabel=Siap+Huni","Siap Huni","","","Rp 2 Miliar","Rp 9 Jutaan (Tenor 20 Tahun)","Rp 12 Jutaan (Tenor 15 Tahun)","https://www.rumah123.com/properti/semarang-semarang-tengah/rumah-di-jl-taman-seteran-vn0201-hos41067669/","Rumah di Jl. Taman Seteran (Vn0201)","Semarang Tengah, Semarang","Rumah 1.5lt siap huni di pusat kota Semarang. Hanya 5 menit dari simpang lima, jalan lebar bisa untuk 2 mobil","3","[object Object]","1","[object Object]","100 m²","LT:","100 m²","LB:","","Diperbarui 1 hari yang lalu oleh","Emirita Redland","+628193...","WhatsApp","","","https://pic.rumah123.com/r123/100x100-fit/logo/20200122032448_redland.jpeg","","",""
"https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpicture.rumah123.com%2Fr123-images%2F720x420-crop%2Fcustomer%2F1162029%2Fdae0c38ee33ec75829debb5cebc41819.jpg&w=3840&q=75","https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpicture.rumah123.com%2Fr123-images%2F720x420-crop%2Fcustomer%2F1162029%2Fe8370ec3172eb5cc39fd0ef6f1f7d6e4.jpg&w=3840&q=75","https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpicture.rumah123.com%2Fr123-images%2F720x420-crop%2Fcustomer%2F1162029%2Fa61432286ace35cdcf0e4d73495696d1.jpg&w=3840&q=75","[object Object]","7","[object Object]","Rumah","Premier","https://www.rumah123.com/jual/cari/?location=jawa-tengah&itm_medium=search-suggestions-lokasi&itm_source=organic&quickLabel=Siap+Huni","Siap Huni","https://www.rumah123.com/jual/cari/?location=jawa-tengah&itm_medium=search-suggestions-lokasi&itm_source=organic&quickLabel=Bebas+Banjir","Bebas Banjir","Rp 450 Juta","Rp 2 Jutaan (Tenor 20 Tahun)","Rp 2 Jutaan (Tenor 15 Tahun)","https://www.rumah123.com/properti/semarang-semarang-barat/rumah-di-daerah-borobudur-manyaran-semarang-me-8024-hos41067286/","Rumah di Daerah Borobudur Manyaran , Semarang ( Me 8024 )","Semarang Barat, Semarang","Rumah di daerah Borobudur Manyaran , Semarang (  Me 8024 ) Lokasi strategis , bebas banjir Dekat fasilitas umum lainnya Rumah bagus dan siap huni G...","2","[object Object]","1","[object Object]","74 m²","LT:","42 m²","LB:","","Diperbarui 1 hari yang lalu oleh","Emirita Redland","+628193...","WhatsApp","1","[object Object]","https://pic.rumah123.com/r123/100x100-fit/logo/20200122032448_redland.jpeg","","",""
"https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpicture.rumah123.com%2Fr123-images%2F720x420-crop%2Fcustomer%2F1963289%2F2024-04-11-03-17-47-b6f86b8a-d0e8-4334-b9b1-12afff292bb6.jpg&w=3840&q=75","","","","1","[object Object]","Ruko","Premier","https://www.rumah123.com/jual/cari/?location=jawa-tengah&itm_medium=search-suggestions-lokasi&itm_source=organic&quickLabel=Siap+Huni","Siap Huni","","","Rp 1,25 Miliar Total","Rp 6 Jutaan (Tenor 20 Tahun)","Rp 7 Jutaan (Tenor 15 Tahun)","https://www.rumah123.com/properti/semarang-semarang-tengah/ruko-di-imam-bonjol-semarang-si-6437-shs9895897/","Ruko di Imam Bonjol , Semarang Si 6437","Semarang Tengah, Semarang","Ruko di Imam Bonjol , Semarang ( Si  6437) Lokasi strategis , Ruko bagus dan siap pakai Dekat Fasilitas umum lainnya Cocok untuk ruang usaha , kant...","1","[object Object]","","","42 m²","LT:","42 m²","LB:","","Diperbarui 1 hari yang lalu oleh","Emirita Redland","+628193...","WhatsApp","","","https://pic.rumah123.com/r123/100x100-fit/logo/20200122032448_redland.jpeg","","",""
"https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpicture.rumah123.com%2Fr123-images%2F720x420-crop%2Fcustomer%2F1177237%2F1ff38bb0dd040e286b1e795e170294a4.jpg&w=3840&q=75","https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpicture.rumah123.com%2Fr123-images%2F720x420-crop%2Fcustomer%2F1177237%2Fb64b30f4cf64f349cdf35053b54e8959.jpg&w=3840&q=75","https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpicture.rumah123.com%2Fr123-images%2F720x420-crop%2Fcustomer%2F1177237%2F096249f688a996cfd75682189567d322.jpg&w=3840&q=75","[object Object]","3","[object Object]","Tanah","Premier","https://www.rumah123.com/jual/cari/?location=jawa-tengah&itm_medium=search-suggestions-lokasi&itm_source=organic&quickLabel=Bebas+Banjir","Bebas Banjir","https://www.rumah123.com/jual/cari/?location=jawa-tengah&itm_medium=search-suggestions-lokasi&itm_source=organic&quickLabel=Dekat+Fasilitas+Kesehatan","Dekat Fasilitas Kesehatan","Rp 7 Miliar Total","Rp 34 Jutaan (Tenor 20 Tahun)","Rp 44 Jutaan (Tenor 15 Tahun)","https://www.rumah123.com/properti/semarang-semarang-selatan/tanah-di-sriwijaya-semarang-wn-8441-las9114075/","Tanah di Sriwijaya , Semarang ( Wn 8441 )","Semarang Selatan, Semarang","Tanah di Sriwijaya , Semarang ( Wn 8441 ) Lokasi strategis , hadap Selatan Dekat fasilitas umum lainnya spt RS , Sekolah dll Tanah siap bangun  Jal...","","","","","283 m²","LT:","","","","Diperbarui 1 hari yang lalu oleh","Emirita Redland","+628193...","WhatsApp","","","https://pic.rumah123.com/r123/100x100-fit/logo/20200122032448_redland.jpeg","","",""
"https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpicture.rumah123.com%2Fr123-images%2F720x420-crop%2Fcustomer%2F2053374%2F82b34df7084ec0c980e8b8c9e75b677f.jpg&w=3840&q=75","https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpicture.rumah123.com%2Fr123-images%2F720x420-crop%2Fcustomer%2F2053374%2F5ac5ed6b49f5e659729b5f9f2f4f9401.jpg&w=3840&q=75","https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpicture.rumah123.com%2Fr123-images%2F720x420-crop%2Fcustomer%2F2053374%2F7926fdf60a1b0aaedb61216afa10e57f.jpg&w=3840&q=75","[object Object]","12","[object Object]","Rumah","Premier","https://www.rumah123.com/jual/cari/?location=jawa-tengah&itm_medium=search-suggestions-lokasi&itm_source=organic&quickLabel=Siap+Huni","Siap Huni","https://www.rumah123.com/jual/cari/?location=jawa-tengah&itm_medium=search-suggestions-lokasi&itm_source=organic&quickLabel=Dekat+Fasilitas+Kesehatan","Dekat Fasilitas Kesehatan","Rp 1,4 Miliar","Rp 6 Jutaan (Tenor 20 Tahun)","Rp 8 Jutaan (Tenor 15 Tahun)","https://www.rumah123.com/properti/semarang-semarang-barat/rumah-semarang-indah-semarang-de-7775-hos41227042/","Rumah Semarang Indah , Semarang ( De 7775)","Semarang Barat, Semarang","Rumah Semarang Indah , Semarang  ( De 7775) Lokasi strategis , Bangunan rumah 1,5 lt Hadap Barat , dekat fasilitas umum lainnya seperti RS , Sekola...","2 + 1","[object Object]","1 + 1","[object Object]","240 m²","LT:","220 m²","LB:","","Diperbarui 1 hari yang lalu oleh","Emirita Redland","+628193...","WhatsApp","4","[object Object]","https://pic.rumah123.com/r123/100x100-fit/logo/20200122032448_redland.jpeg","","",""
"https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpicture.rumah123.com%2Fr123-images%2F720x420-crop%2Fcustomer%2F1177245%2Fd875ce0aa1d14f2d5e81f8b25817e8b6.jpg&w=3840&q=75","https://www.rumah123.com/portal-img/_next/image/?url=https%3A%2F%2Fpicture.rumah123.com%2Fr123-images%2F720x420-crop%2Fcustomer%2F1177245%2Fd2173413e789b4dffdfe149590e59838.jpg&w=3840&q=75","","[object Object]","2","[object Object]","Ruko","Premier","","","","","Rp 55 Juta /m²","Rp 280 Ribuan /m² (Tenor 20 Tahun)","Rp 350 Ribuan /m² (Tenor 15 Tahun)","https://www.rumah123.com/properti/semarang-semarang-tengah/ruko-di-jl-pemuda-semarang-vn-8520-shs9938754/","Ruko di Jl Pemuda , Semarang ( Vn 8520 )","Semarang Tengah, Semarang","Ruko di Jl Pemuda , Semarang ( Vn 8520 ) Lokasi strategis , Hadap Tenggara Bangunan 1,5 lt dekat fasilitas umum lainnya Cocok untuk ruang usaha . k...","","","","","458 m²","LT:","650 m²","LB:","","Diperbarui 1 hari yang lalu oleh","Emirita Redland","+628193...","WhatsApp","","","https://pic.rumah123.com/r123/100x100-fit/logo/20200122032448_redland.jpeg","","",""
